
Geneid	SRR28411569	SRR28411570	SRR28411571	SRR28411572
YDL245C	52	59	52	38
YDR170W-A	216	183	186	281
YDR210W-B	341	213	100	512
YDR210C-D	452	245	74	277
YDR316W-B	203	92	54	413
YDR261C-D	569	354	151	841
YDR210C-C	0	0	0	0
YDR261C-C	0	0	0	0
YDR261W-B	1142	831	713	1147
YDR365W-A	0	0	0	0
YDR316W-A	0	0	0	0
YDR261W-A	0	0	0	0
YDR365W-B	356	191	91	421
YDR098C-B	347	277	41	271
YDR098C-A	0	0	0	0
YDR210W-A	0	0	0	0
YDR034C-D	502	357	161	299
YDR034C-C	0	0	0	0
YOR185C	4682	4287	1799	2590
YOR237W	58	40	32	42
YOL048C	2335	2077	479	1134
tG(GCC)O1	0	0	0	1
YOL144W	141	95	114	186
snR8	3165	2822	3667	2767
YOR082C	7	2	1	4
YOL072W	641	592	244	462
YOR114W	313	263	60	91
YOL085C	13	36	11	12
YOR385W	1327	1293	326	888
YOR214C	46	20	2	11
YOL119C	609	548	272	438
YOR019W	670	648	199	436
YOR206W	1931	1847	2560	3399
YOR345C	3	4	1	6
YOR341W	14528	12459	20395	27339
YOL088C	1677	1566	618	1147
YOR392W	6	4	0	0
YOR160W	2729	2198	1098	1778
YOR084W	470	409	210	225
YOR039W	2455	2198	1309	1976
YOR264W	767	673	454	727
YOR281C	703	732	590	776
tK(UUU)O	55	58	3	51
YOR230W	41270	32931	25670	27165
YOR144C	652	539	325	601
YOL081W	16332	12927	6978	13100
YOL052C	2043	1921	1685	2068
YOR285W	11921	10662	8053	7473
YOR058C	1659	1514	743	1106
YOR270C	56204	48671	42789	50813
YOL154W	230	219	193	263
YOR115C	1087	1044	645	1003
YOL003C	1255	1211	929	1014
YOR258W	305	241	169	210
tN(GUU)O2	3	7	0	6
YOL103W	3040	2455	1671	2884
YOR215C	1822	1698	741	839
YOL095C	271	254	120	228
YOL063C	1856	1483	816	1130
YOL079W	0	0	0	0
YOR389W	278	247	123	173
YOR231W	1231	953	347	554
YOR021C	1348	1341	1563	1934
YOR139C	8	4	2	2
YOR120W	4351	3787	649	830
YOL038W	3458	3003	1553	1768
YOR023C	200	123	37	113
YOL124C	360	379	602	874
YOR212W	3698	3198	2023	3166
YOL013W-A	30	29	9	41
YOL120C	28026	23514	51591	50025
YOR181W	259	196	76	159
YOR333C	0	1	0	0
YOR335C	16861	14269	18050	21779
YOL046C	6	13	2	7
YOL029C	345	206	94	257
YOL155W-A	29	33	6	19
YOR072W	67	54	45	88
YOL161C	0	0	2	4
snR58	33	17	16	13
YOL122C	6146	5424	4052	7365
YOR252W	305	306	440	530
YOR157C	2580	2150	889	1462
YOL107W	840	819	308	553
YOR274W	811	762	373	695
YOL013W-B	2	5	1	2
YOR343C	73	80	19	46
YOR093C	2931	2599	1381	2035
YOR381W-A	18	35	24	11
YOL065C	769	579	360	569
YOR092W	5330	4910	2880	3454
YOR207C	3660	3457	3383	4773
YOR365C	106	73	95	163
YOL005C	1516	1265	1611	1526
YOL020W	7035	6424	4632	7141
YOL053W	1182	1106	535	671
YOL117W	667	605	256	315
YOR038C	1700	1524	859	1382
YOR303W	1170	980	1377	2340
YOR137C	2848	2051	1245	1339
YOL034W	828	688	540	715
YOR052C	4879	4773	1260	2052
YOR190W	305	247	97	150
YOL039W	18461	15493	23017	27094
YOR349W	979	921	431	760
YOL090W	2042	1787	1501	1939
YOR271C	1344	1010	1037	1675
YOR173W	6187	5399	858	1296
YOR106W	593	578	437	447
YOR108W	2809	2441	4518	5578
YOR059C	1898	1678	710	1069
YOL149W	839	796	379	761
YOR121C	315	487	31	128
YOL106W	40	52	26	30
snR9	19578	15277	3369	12419
YOR295W	247	248	301	296
YOR203W	23	16	21	34
YOR132W	1543	1191	448	659
YOR216C	688	616	669	796
YOR099W	16105	13860	7875	16884
YOR001W	2220	2038	2925	3219
YOR009W	41	21	4	37
YOR204W	31869	25419	39029	37864
YOR209C	4684	3833	2752	4172
YOR284W	361	339	262	391
YOR036W	698	579	242	371
YOR154W	808	752	705	996
YOR048C	2139	1892	2155	3001
YOL073C	2625	2155	1282	1338
YOL152W	697	670	130	388
YOL101C	1479	1512	3134	2395
YOR085W	3060	2689	1645	2990
YOR227W	4144	2824	983	2020
YOR159C	259	199	131	245
YOR146W	0	0	0	0
YOR372C	834	632	301	463
YOR112W	2815	2440	1196	1464
YOR387C	198	145	52	82
YOR229W	1688	1334	2179	2148
YOR068C	0	0	0	0
YOR376W-A	399	267	82	218
YOL050C	12	9	4	8
YOR342C	464	374	320	442
YOL035C	73	61	8	30
YOR251C	2493	2071	1983	2391
YOR041C	24	15	1	4
YOR130C	353	304	261	391
YOR119C	458	385	386	534
YOL166C	4	3	0	2
YOR008C	4460	4011	2671	3074
YOL011W	14327	13336	4577	6433
YOR248W	6	3	1	6
YOR202W	633	558	1159	849
YOR266W	750	698	308	493
YOR140W	172	120	95	182
YOR004W	486	438	869	927
YOR308C	513	425	388	515
YOR032C	484	473	153	276
YOR311C	2638	2479	1972	2344
YOL019W	1026	724	502	859
YOL138C	1201	1045	538	768
YOL151W	1782	1721	1377	1376
YOR330C	2657	2319	1682	2266
YOR379C	0	1	0	0
YOR142W	10215	9004	5498	6491
YOR268C	60	44	14	29
snR81	1103	921	407	1020
YOR017W	1312	1170	713	983
YOR394W	0	0	0	0
YOL134C	0	3	2	1
YOR002W	5860	5229	3212	5493
YOR194C	115	100	38	107
YOR298C-A	20207	17687	7210	7651
YOL069W	1004	839	590	873
YOR014W	6544	5804	2167	2881
YOR346W	1422	1304	941	1633
YOR044W	1202	1122	223	493
YOR275C	2755	2258	1229	1702
YOR174W	811	698	513	627
YOR336W	2826	2293	2355	3623
YOL094C	873	667	749	747
YOR122C	18407	15904	11279	16943
YOR256C	4160	3392	1788	2184
YOL137W	607	474	241	593
YOR350C	1324	1165	767	1142
YOR196C	1378	1222	800	1207
YOR380W	945	902	458	587
YOR314W-A	1	4	0	5
tA(UGC)O	4	0	0	0
YOL097W-A	41	57	24	59
YOR376W	41	23	6	8
YOR369C	39458	34728	31871	62272
YOL132W	105	92	70	101
YOR296W	2326	1976	1325	2001
YOR260W	2987	2487	1303	2759
YOR373W	652	468	372	586
YOR163W	836	721	391	672
YOR029W	16	34	4	14
YOL042W	1264	1147	590	1090
YOR316C	3835	3395	1316	1821
YOR326W	11421	9893	8584	10701
YOR293C-A	40	50	19	76
YOL036W	1659	1195	536	853
YOR072W-B	0	0	0	0
YOR332W	3383	2635	1439	2345
YOL002C	2488	2463	4934	6211
YOR193W	501	590	194	259
YOR243C	1589	1355	2402	3310
YOR126C	969	808	522	626
YOR070C	1383	992	616	932
YOR328W	2074	1899	918	1252
YOL056W	771	579	590	873
YOR098C	2335	1923	1544	2437
YOL110W	1072	954	531	828
YOR213C	844	737	618	886
YOR253W	630	483	382	656
YOR008C-A	73	43	16	63
YOL113W	2190	1967	644	817
YOR060C	522	414	256	461
YOL076W	2733	2400	1909	2936
YOR186C-A	0	0	0	0
YOR381W	1696	1323	460	754
YOR113W	1440	1096	344	628
YOR273C	8885	7739	2729	4570
tN(GUU)O1	0	0	4	3
YOR161W-A	0	0	0	0
YOL147C	1088	1070	696	1258
YOR338W	247	242	130	205
YOR178C	5879	4201	613	1126
YOR188W	645	530	481	653
YOL159C	912	886	404	557
YOR382W	106	96	67	219
YOL071W	578	506	164	279
YOR363C	1786	1475	837	963
YOR069W	1404	1198	832	930
YOR075W	738	720	388	453
YOR124C	6495	6045	2468	3985
YOR008W-B	28	11	5	18
snR31	8731	7839	2888	10794
YOL025W	965	906	339	600
YOR057W	1108	948	803	742
YOR265W	516	463	306	494
YOL127W	21893	19613	30165	40289
YOR107W	645	500	484	502
YOL142W	1303	1007	1027	1490
YOR239W	2107	1897	2614	2636
YOL091W	120	109	32	72
YOR317W	17765	15042	6349	10544
YOR370C	4293	3649	3118	4476
tM(CAU)O1	0	0	0	1
YOR211C	2718	2148	1380	1429
YOR191W	3110	2455	1824	2415
YOL064C	2026	1762	1772	2696
tT(AGU)O1	0	0	0	0
YOL049W	1701	1360	905	1548
YOL043C	361	292	138	227
YOR043W	2823	2115	1266	1886
YOR331C	2	0	0	0
YOR309C	60	101	33	96
YOR104W	363	321	189	267
YOL114C	258	197	84	146
YOR300W	16	14	6	6
YOR220W	5114	4748	929	1495
YOR378W	477	436	246	304
YOL059W	3413	2419	1964	2551
YOR386W	1044	766	376	532
YOL027C	2345	1902	1524	1721
snR62	237	242	44	158
snR17a	238270	227160	188459	212632
YOL155C	5710	4903	3886	4461
YOR375C	6410	5841	3330	3539
snR35	20369	13543	8563	19084
YOR100C	235	218	40	65
YOL026C	638	549	220	563
YOL012C	1218	987	725	1251
YOR026W	646	544	310	526
YOR359W	483	340	239	616
YOR250C	1020	866	446	798
YOL013C	2521	2199	1215	1701
YOR272W	1294	1242	2223	2607
tG(GCC)O2	4	1	5	3
YOL164W-A	33	48	14	29
YOL082W	2533	2093	639	1014
snR36	227	199	134	229
YOR035C	2146	1784	790	1169
YOL016C	4713	3950	1381	2210
YOR007C	10503	8915	5324	6019
YOR325W	6	7	1	5
YOL085W-A	119	80	14	44
YOL160W	5	15	5	29
YOR361C	5594	4637	5209	6488
YOL158C	1300	1084	821	1360
YOR315W	1767	1702	2751	2866
YOR010C	105	102	38	66
YOR384W	764	569	255	524
YOR234C	4395	4013	5782	9929
YOR283W	1906	1756	1416	1884
YOR020W-A	1225	1177	633	689
YOL045W	1192	1041	575	967
YOR102W	6	8	2	7
YOL128C	525	566	601	754
YOR360C	6988	6433	3388	4955
YOL097C	3679	3286	3288	5347
YOR164C	4117	3894	2864	4170
YOR175C	8392	7645	11862	10198
tP(UGG)O1	0	0	0	0
YOR086C	10157	8159	6798	10026
YOR242C	138	167	64	87
YOR155C	1692	1773	996	1213
YOL019W-A	4	3	0	0
YOL030W	17474	14020	9945	12448
YOR323C	3793	3213	4279	4668
YOL017W	504	452	356	424
YOR233W	2203	1935	1129	1802
YOL037C	16	7	0	7
YOR083W	79	62	60	73
YOL010W	939	809	682	1077
YOR118W	1167	1004	574	956
YOR128C	6134	5494	5436	7960
YOL125W	887	672	1002	1342
YOL004W	5075	3293	1806	2964
YOR177C	60	71	90	82
YOR166C	777	696	503	680
YOR006C	645	621	501	754
YOR324C	1413	1183	844	1065
YOL024W	21	25	6	14
YOR033C	2165	1672	858	1313
YOL033W	1068	983	815	848
YOL070C	1448	1036	818	751
YOR116C	7167	5688	4816	7727
YOL067C	491	503	450	358
YOR145C	834	773	741	1355
YOR304C-A	145	138	117	192
YOR192C	346	277	174	312
YOL109W	16205	15148	20597	13666
YOR078W	504	499	515	756
YOR134W	550	542	168	212
YOR131C	424	348	105	306
YOR368W	1051	1012	700	734
YOL111C	631	469	279	391
YOR168W	5603	4839	5265	7599
YOR226C	383	451	307	325
YOL162W	36	33	24	32
YOR334W	737	619	426	592
YOR241W	2034	1767	1635	1947
tP(UGG)O2	0	0	0	0
YOR245C	3358	2994	1422	1813
YOL009C	572	564	232	357
YOR153W	22007	21767	41785	54868
YOR358W	327	250	258	222
YOR335W-A	0	0	0	0
YOR170W	34	43	1	14
YOR267C	753	486	176	362
YOR081C	1579	1132	583	1219
YOL145C	2803	2200	1871	2931
YOL156W	143	142	51	113
YOR322C	3703	3117	1298	1994
YOL044W	623	519	214	437
YOR054C	877	762	233	356
YOL031C	1874	1657	1748	2014
YOR034C-A	244	199	44	114
YOR306C	2051	1532	892	1390
YOR261C	5651	5209	2631	3744
YOR293W	13234	11738	23903	24618
YOR062C	401	462	142	261
YOR339C	80	93	54	102
YOR067C	3789	3327	2062	3307
YOR312C	17406	15813	21505	32227
YOR094W	343	280	268	407
YOL135C	168	127	34	91
YOL105C	575	375	337	379
YOR329W-A	5	7	0	3
YOR197W	3445	2703	1592	2814
YOL104C	3549	3102	1231	1479
YOR262W	1116	1008	746	1047
YOR167C	14596	11416	17355	21952
YOL015W	268	217	116	159
YOR161C	2301	2342	402	833
YOR393W	2	0	0	0
YOR105W	11	16	4	9
YOR210W	1108	1061	1943	1204
YOR364W	22	10	3	8
YOL087C	5161	4466	2437	2984
YOR127W	2895	2327	1566	2202
YOR184W	8447	7610	9169	13040
YOR150W	1845	1623	1063	1543
YOR179C	261	266	308	297
YOR340C	1093	1048	1895	2444
YOR354C	4808	4274	2212	3449
YOR217W	924	772	936	1200
YOR298W	546	516	88	178
YOL006C	1477	1293	1192	1573
YOR259C	2581	2273	1616	2073
YOR318C	296	201	84	224
YOR320C	2733	2555	1863	2761
YOR222W	2594	2462	1165	1618
YOL165C	19	26	1	4
YOL007C	495	446	332	671
YOR307C	4087	3462	1366	2608
YOL051W	1047	718	550	731
YOR091W	569	511	812	799
YOR079C	1031	876	895	1140
YOL022C	1202	1136	1221	1701
YOR278W	758	674	447	574
YOR024W	2	4	0	5
YOL148C	1159	898	666	899
YOL078W	1085	933	665	960
tP(UGG)O3	20	18	6	23
YOR089C	1138	926	416	632
YOL098C	6401	5683	4571	5726
YOR171C	2464	2084	1248	1695
YOL089C	1270	1044	614	1022
YOL150C	2	0	0	0
YOR095C	346	326	522	968
YOL146W	647	555	394	674
YOR224C	4464	3888	5049	5895
YOR302W	57	72	42	90
YOR286W	2564	2295	1227	2129
YOR046C	4018	3560	2999	4336
tG(CCC)O	5	7	2	5
YOR388C	70	96	6	15
YOR228C	2488	2091	903	968
YOL112W	1098	958	546	869
YOR141C	1329	1201	861	1190
YOL131W	88	94	17	31
YOR049C	1411	1235	1300	1834
YOL143C	7904	6700	6419	8048
YOR172W	1560	1294	642	1080
YOR149C	2184	1966	1003	2008
YOL164W	1028	856	694	935
YOR011W	1394	1043	884	1534
YOR071C	945	758	1411	1969
YOR022C	813	548	294	402
YOR125C	2072	1974	725	1451
YOL141W	414	390	569	852
YOR101W	1095	971	1364	1927
YOR263C	8	5	2	1
YOR383C	792	526	594	953
YOR056C	772	721	963	1108
YOL075C	2775	2298	1796	2523
YOR073W-A	0	1	0	2
YOR246C	3955	3432	5506	4556
YOR042W	1752	1453	1161	1032
YOR236W	281	287	455	586
YOR183W	14	22	10	11
YOR176W	11267	9335	5373	7856
YOR238W	794	656	318	582
YOR367W	1154	1039	636	850
YOR297C	1323	1211	526	917
YOR310C	3425	2908	4615	6107
YOR063W	89103	75018	177703	131811
YOR189W	433	391	290	395
YOL129W	7857	6697	3239	4860
YOR280C	879	781	628	913
YOR037W	835	682	240	575
YOR090C	1821	1484	750	1350
YOR313C	67	100	70	108
YOL032W	1362	1012	454	484
YOR158W	1316	1287	696	976
YOR162C	948	796	405	582
YOL092W	2258	2225	1470	3044
YOL061W	10876	9554	9038	12460
YOR232W	3534	3098	2625	3822
YOR219C	3984	3297	1370	2312
YOR182C	8634	7527	10005	14598
YOL099C	8	7	0	6
YOR294W	617	572	703	1178
YOR288C	2111	1951	832	1124
YOR110W	929	819	507	598
YOR040W	589	518	203	403
YOL083W	918	896	209	336
YOL136C	3482	3007	1217	2049
YOL130W	2413	1891	1374	2218
YOL021C	3312	2963	3300	4298
YOR282W	1	0	0	0
YOL077W-A	1123	1050	238	536
YOR319W	460	400	252	438
YOR030W	1747	1496	518	1003
YOR291W	6121	5127	3188	3993
YOL077C	1750	1494	1950	2651
YOR390W	403	325	207	304
YOL052C-A	1019	970	15	87
YOR123C	137	128	84	197
YOR013W	207	214	57	161
YOR249C	1128	1024	499	612
YOR362C	4901	4253	2812	2960
YOL058W	780	746	1248	1107
YOR143C	762	688	359	699
YOR347C	3045	2411	1166	1221
YOL157C	119	86	138	139
YOL057W	5427	4566	3502	4935
YOR321W	3751	3393	2997	3690
YOR015W	925	774	277	492
YOR111W	415	435	215	370
YOL008W	569	493	173	388
YOR279C	164	143	135	125
YOR394C-A	0	2	0	0
YOR180C	340	318	142	231
YOL055C	925	873	613	784
snR5	17731	14655	6129	12126
YOL139C	9041	8177	7119	11095
YOR287C	183	181	301	343
YOR198C	5778	4558	4282	3885
YOR053W	2	0	0	0
YOL054W	217	186	113	182
YOR012W	172	222	67	78
YOL118C	238	208	69	202
YOR034C	2766	2174	1317	2047
YOR374W	23296	20243	2737	4398
YOR018W	1496	1230	331	740
YOL084W	1596	1444	142	239
YOR314W	40	36	7	35
YOR050C	115	83	22	49
YOR391C	22	14	6	5
YOR327C	797	637	492	686
YOR352W	1051	861	341	659
YOR348C	161	120	37	49
YOL115W	826	693	540	729
YOR066W	635	594	179	444
YOR072W-A	27	49	18	32
YOL096C	1037	955	514	533
tM(CAU)O2	9	8	2	5
YOR020C	11702	10426	2195	6324
YOR133W	41866	34074	58631	56584
YOR356W	3322	2547	1753	2097
YOR208W	960	812	191	392
YOR357C	1135	1087	605	819
YOR277C	1	0	0	0
YOR276W	910	905	759	994
YOR247W	205	150	83	152
snR50	176	179	151	180
YOL047C	223	204	136	143
YOR221C	600	438	224	473
YOR344C	1847	1612	649	1029
YOR269W	881	829	733	976
YOR152C	1252	1323	417	488
YOR103C	71	88	45	73
YOR377W	2096	1758	1530	1643
YOR129C	1148	1017	738	975
YOL038C-A	129	96	33	88
YOR156C	764	519	316	429
YOR329C	986	834	344	555
YOR351C	92	98	34	79
YOL040C	22489	20660	35284	36414
YOL159C-A	261	274	94	180
YOR051C	1824	1860	3278	3421
YOR003W	700	608	222	318
YOR064C	345	286	173	175
YOR073W	416	352	250	365
YOR201C	677	692	487	648
YOR065W	6330	5272	979	1603
YOR186W	186	194	32	51
YOR045W	1968	1782	632	1811
YOL018C	836	687	414	613
YOL133W	317	341	130	245
YOR087W	3507	3078	1753	2369
YOL028C	265	223	245	223
YOL086C	442371	353568	651015	612511
YOL108C	226	235	123	142
YOL023W	939	739	416	577
YOR011W-A	8	9	3	4
YOR165W	4027	3155	4026	4020
YOL068C	2155	1962	1283	1860
YOR138C	2556	2171	1774	1729
YOR016C	4005	3724	2327	2702
YOL121C	9418	8642	12204	14141
YOL126C	12392	10856	3455	6152
YOR235W	133	169	46	135
YOR080W	608	588	391	557
YOR169C	13	8	2	15
YOR028C	282	333	187	300
YOR225W	51	28	11	38
YOR108C-A	0	0	0	0
YOR109W	4009	3138	2005	2714
YOL093W	582	514	490	694
YOR147W	2313	2074	688	1097
YOR218C	3	3	0	10
YOR254C	5845	5550	5558	7382
YOL080C	146	135	276	355
YOR161W-B	0	0	0	0
tY(GUA)O	0	0	0	2
YOR136W	11745	10277	5510	6703
tR(ACG)O	1	2	0	0
YOR192C-C	102	66	35	77
YOR205C	890	873	447	741
YOR200W	0	0	0	0
YOR305W	599	605	284	627
YOR195W	484	446	389	534
YOL123W	4900	4200	2404	2418
YOR097C	732	646	143	425
YOL083C-A	0	0	0	0
YOL086W-A	710	460	213	346
YOR337W	987	836	760	1181
YOL100W	416	285	186	330
YOR289W	1714	1608	497	592
YOR255W	6	8	2	6
YOR304W	1851	1548	1437	1856
YOL163W	47	59	64	41
YOR077W	209	162	240	220
YOR074C	460	345	259	388
YOR117W	4631	4166	2420	3065
YOR055W	26	24	1	20
YOL166W-A	0	0	0	0
YOL066C	742	634	516	772
YOR396W	58	35	4	8
YOR161C-C	13	23	14	9
tV(AAC)O	11	8	0	9
YOR151C	11759	9693	7211	10951
YOR187W	24075	20564	11924	16488
YOL001W	968	899	419	623
YOR005C	987	789	242	398
YOR199W	116	94	8	38
YOR355W	4800	4002	1571	2610
YOR290C	4390	3254	1767	2461
YOR396C-A	0	0	0	0
YOR047C	929	899	839	1059
YOL014W	265	223	324	416
YOR244W	1456	1184	633	845
YOL102C	566	475	528	577
YOL060C	4004	3433	1322	1925
YOL041C	865	752	1023	1435
YOL116W	736	768	464	641
YOR353C	1072	1061	454	982
YOR299W	2425	2188	1460	1887
YOR366W	1	1	0	1
tD(GUC)O	14	10	13	43
YOR096W	20015	17611	67073	38706
YOR148C	256	250	189	265
YOR301W	480	443	397	644
YOR257W	63	68	42	40
YOR135C	28	27	2	12
YOR032W-A	17	16	7	18
YOR223W	325	282	119	188
YOR076C	884	721	350	607
YOR231C-A	0	0	0	0
YOR316C-A	55	45	17	62
tS(GCU)O	14	12	10	15
YOR061W	1885	1665	1146	1834
YOR025W	963	773	530	696
YOR371C	1389	1105	711	1293
YOL140W	936	852	1246	1311
YOL062C	2666	2513	1834	2486
YOR292C	1535	1625	846	1192
tG(UCC)O	0	0	0	4
YOR027W	16051	14621	3289	3756
tT(AGU)O2	0	0	0	0
YOR142W-B	120	83	20	150
YOR192C-A	0	0	0	0
YOL103W-B	340	187	64	379
YOR142W-A	0	0	0	0
YOR192C-B	306	252	208	495
YOR343W-B	481	355	151	321
YOR343W-A	0	0	0	0
YOL103W-A	0	0	0	0
YGL087C	2289	1882	1901	1460
YGL156W	6125	5064	1324	1698
YGL015C	30	16	18	25
RME2	2	0	0	1
YGR251W	223	208	278	333
YGR162W	6879	5958	10852	11592
tK(UUU)G2	13	10	4	17
YGR005C	609	493	416	686
YGL160W	2643	2265	1080	1435
snR46	12721	9885	1693	8738
tD(GUC)G1	6	7	10	4
YGL211W	441	360	284	598
YGR141W	1417	1206	487	790
YGL239C	19	8	2	12
YGL097W	2207	1789	2685	2637
YGR030C	604	544	235	466
YGR224W	980	783	363	447
YGR142W	2586	2138	563	770
YGR186W	2205	1800	1823	2229
YGR181W	728	686	225	518
YGL081W	151	115	60	94
YGR082W	3192	2700	2976	3953
YGL028C	1321	1012	1617	3293
YGL021W	3900	3552	2159	2760
YGL110C	373	289	185	315
YGR167W	3430	2846	1585	2006
YGL017W	946	891	463	758
tA(UGC)G	0	2	0	0
YGR156W	393	374	198	396
YGR291C	14	5	0	6
YGR197C	918	721	150	395
YGR041W	1425	1191	501	941
YGL079W	601	587	428	607
YGL107C	2216	1948	1384	1745
YGL168W	420	379	141	215
YGL228W	3962	3534	2739	3068
YGR183C	5202	4999	950	1715
YGL050W	366	304	329	367
YGR273C	10	5	12	12
YGR086C	13156	10226	3687	5110
YGR228W	2	0	0	0
YGL145W	1250	1227	644	946
YGR098C	2924	2948	1308	2239
YGR074W	78	53	61	73
YGL098W	955	797	226	337
snR7-S	0	0	0	0
YGL096W	520	485	179	268
YGR240C-A	154	157	107	209
YGR172C	1741	1556	568	1168
YGR194C	2572	2244	648	1085
YGL026C	21487	18103	20111	20436
YGL213C	1730	1388	1365	1695
YGL248W	2693	2391	920	1514
YGL075C	305	237	124	264
YGL256W	3330	2728	1775	2127
YGL012W	16852	14875	10579	15142
YGL082W	2333	2460	1003	1757
YGR161C	1659	1411	353	443
tW(CCA)G1	40	28	12	31
YGR274C	1552	1388	1076	1327
YGR031C-A	0	0	0	0
YGL037C	32514	30900	4814	7823
YGL252C	1987	1606	793	1476
YGL250W	309	216	127	235
YGR260W	5926	5087	4503	6805
YGR159C	813	770	2165	3026
YGR006W	249	204	118	248
YGL121C	5412	4908	2066	2223
YGL040C	8397	7421	4822	6399
YGR130C	5968	5277	1933	2152
YGR021W	789	774	424	659
YGR097W	1970	1691	781	1245
YGL170C	46	32	34	30
YGL166W	353	234	136	219
YGL104C	3211	2616	727	1220
YGR149W	3672	3751	861	1235
YGR195W	998	879	812	1082
tG(GCC)G2	4	4	0	3
YGR250C	10920	9413	3518	4327
YGL155W	1721	1561	1517	1623
YGL216W	489	421	275	506
YGR029W	827	665	586	675
YGL125W	1901	1594	612	813
YGR038W	1482	1393	619	1056
YGR008C	4228	3487	1386	1687
YGR248W	4358	3948	488	828
YGL094C	6122	5051	2951	4171
YGR131W	185	212	117	157
YGR163W	1087	888	655	872
YGR125W	4982	4324	2170	3293
YGR279C	21538	15570	10280	17603
YGL022W	11129	9177	6128	9272
tD(GUC)G2	3	5	7	15
YGR271W	4191	3370	2449	3270
YGL025C	239	272	198	207
YGL176C	1237	1056	606	891
YGR031W	498	536	575	560
YGL102C	24	25	24	59
YGR182C	3031	2742	331	1017
YGR025W	345	308	55	192
YGL113W	644	597	272	489
YGR188C	320	216	197	368
YGL162W	85	102	34	81
YGL084C	6223	5634	2311	3919
snR10	75	55	8	61
YGL196W	3548	3250	1891	2686
RME3	0	0	0	0
YGR230W	480	456	204	280
YGR084C	1339	1263	472	911
YGL222C	60	55	49	124
YGR166W	1156	1029	491	849
YGR122C-A	66	92	55	41
YGR152C	330	262	135	247
YGL210W	706	538	455	486
YGR265W	76	45	49	36
YGR157W	34691	35570	18706	23325
YGL240W	303	251	165	204
YGR085C	7114	6575	9109	11989
YGR237C	1918	1701	1067	933
YGL146C	508	386	166	202
YGL153W	227	238	138	139
YGR075C	479	454	152	488
tT(UGU)G2	36	17	5	11
YGL169W	1033	850	691	1228
YGR187C	262	228	297	489
YGL167C	10070	8052	5233	8482
YGR050C	367	354	60	109
YGR035W-A	416	369	589	420
YGR217W	3740	3295	2508	3715
YGR068C	406	321	159	241
YGR296W	49	41	2	12
YGR177C	1310	1128	1213	1602
YGL068W	585	520	316	455
tN(GUU)G	0	1	5	3
YGL018C	236	181	71	120
YGL188C	1449	1317	180	528
YGR126W	368	274	166	279
YGL065C	1302	1290	749	916
YGL014W	1570	1001	530	1400
YGL100W	3544	3007	1994	2862
YGR288W	652	550	398	536
YGL174W	353	292	131	165
YGR211W	3222	2989	3366	3679
YGL204C	215	194	168	317
YGR270W	2877	2051	1650	1952
YGR204W	13778	11039	15573	18282
YGR266W	1500	1367	701	1087
YGL070C	721	671	732	712
YGL225W	9668	8383	4408	10732
YGL120C	2630	2462	3322	4856
tE(UUC)G1	13	7	3	25
YGR252W	823	590	534	608
YGL106W	1982	1865	1599	1826
YGR284C	8725	8463	2983	5588
YGR032W	20259	14252	12269	18172
YGR174C	825	742	462	384
YGR208W	1557	1477	2758	2770
YGL016W	4681	4201	4255	6464
YGR255C	8154	6563	3507	4325
YGR146C-A	114	85	22	53
YGL194C	1217	1193	896	1267
YGL138C	2	7	4	3
YGR091W	562	488	372	479
YGR200C	3456	2853	3308	4720
YGR191W	4993	4371	4234	6722
YGR270C-A	0	0	0	0
YGL227W	2655	2327	706	1034
YGR081C	602	542	800	937
YGL243W	535	413	294	561
YGL194C-A	838	702	242	768
YGR148C	8742	7549	15671	14194
YGL136C	1095	1013	499	753
YGR276C	927	920	739	927
YGL129C	2075	1754	698	1212
tR(UCU)G2	0	0	0	0
YGR053C	311	283	143	150
YGR069W	31	31	23	42
YGL224C	1188	1102	510	934
YGL193C	0	0	0	0
YGL020C	1805	1588	979	1566
YGL177W	187	144	40	105
YGL189C	21458	19677	45842	33741
YGR122W	1416	1289	584	845
YGL003C	1595	1373	743	1043
YGR210C	2965	2523	2166	2627
tG(GCC)G1	8	16	5	16
YGR079W	900	959	1124	1072
YGL115W	5011	4288	2150	3372
YGL105W	10977	9026	8744	10362
YGR026W	8994	7917	3016	4940
YGR087C	152	96	47	43
YGR278W	418	375	231	320
YGR042W	703	662	230	406
YGR043C	3812	3760	201	298
YGL165C	66	53	17	44
YGR110W	433	437	143	230
YGR089W	2112	1911	1392	1566
YGL158W	101	89	32	45
YGR262C	929	1002	771	1047
YGL200C	9126	8032	6631	10221
YGL117W	306	279	512	505
YGL186C	1726	1546	1778	2762
YGR010W	814	616	497	587
YGR198W	1831	1697	897	1470
YGR137W	303	254	60	98
YGL058W	1990	1777	1175	1727
YGL226W	363	320	202	236
YGL055W	61384	57798	124052	115031
YGL184C	1032	1011	126	166
YGL024W	1	2	0	0
tV(AAC)G3	1	6	0	18
YGL151W	2677	2309	881	1739
YGR101W	2382	2268	1123	1457
YGL230C	76	80	31	58
YGR103W	2032	2066	6170	5215
YGR096W	632	498	288	583
YGR112W	1491	1214	534	625
tI(AAU)G	7	9	1	7
YGL013C	2147	1961	1252	1644
YGL076C	22017	18397	24253	36183
YGR067C	272	236	42	97
YGR094W	22124	17932	25570	30757
YGL226C-A	946	822	335	957
YGR045C	101	127	29	82
YGR175C	24558	20833	32142	34262
